AGE,GENDER,COUNTRY_WORKING_IN,WFH
50,male,Germany,Sometimes
31,Female,Other,Always
39,male,United States of America,Sometimes
46,Male,United States of America,Sometimes
28,M,United States of America,Sometimes
32,male,France,Sometimes
65,F,United States of America,Sometimes
37,Male,United States of America,Always
41,Female,United States of America,Sometimes
38,Male,United States of America,Sometimes
51,male,United States of America,Sometimes
29,Male,United States of America,Sometimes
37,Male,Canada,Always
31,Male,Canada,Always
32,Male,Iran,Sometimes
31,male,Sweden,Sometimes
52,m,Switzerland,Never
31,male,Switzerland,Sometimes
38,F,United Kingdom,Always
35,Male,United States of America,Never
29,Male,United States of America,Always
63,Male,United States of America,Always
47,female,United States of America,Always
43,M,Austria,Always
38,male,Ireland,Sometimes
27,Male,United States of America,Never
40,Female,United States of America,Always
32,Male,South Africa,Never
43,female,United States of America,Always
28,female,Germany,Never
46,Male,United Kingdom,Always
42,male,United States of America,Sometimes
31,Male,United States of America,Sometimes
37,F,United States of America,Never
35,M,Canada,Never
30,Female,United States of America,Always
35,Male,Australia,Sometimes
24,Male,United States of America,Never
23,male,India,Sometimes
39,Female,United Kingdom,Always
38,Male,France,Always
28,Male,United Kingdom,Always
30,m,United Kingdom,Sometimes
38,Male,United Kingdom,Always
33,M,France,Sometimes
35,Male,United Kingdom,Sometimes
54,M|,United Kingdom,Never
30,female,Germany,Never
32,Female,United Kingdom,Always
28,male,United States of America,Sometimes
39,m,Germany,Sometimes
21,non-binary,United States of America,Always
31,male,Germany,Sometimes
30,male,United States of America,Sometimes
25,Female,United States of America,Sometimes
26,Male,United Kingdom,Always
30,male,United States of America,Never
30,M,Italy,Never
31,Male,Bulgaria,Always
32,M,United States of America,Never
45,female,United Kingdom,Always
29,Male,Switzerland,Sometimes
27,Male,United States of America,Always
28,Female,United Kingdom,Always
38,m,United States of America,Always
38,male,United States of America,Sometimes
34,Male,Hungary,Sometimes
36,M,Netherlands,Sometimes
23,male,France,Sometimes
40,Female,United States of America,Sometimes
39,Male,United States of America,Always
28,Male,United States of America,Never
33,male,United States of America,Sometimes
